Adipocytes,Astrocytes,B-cells,CD4+ T-cells,CD8+ T-cells,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,HSC,Keratinocytes,Macrophages,Melanocytes,Mesangial cells,Monocytes,Myocytes,Neurons,Neutrophils,NK cells,Pericytes,Skeletal muscle,Smooth muscle
RAMP2,CDH3,CD79B,1-Sep,LEF1,PPFIA4,,TIE1,KCNH2,PTPRU,TUBB1,GREM1,CD69,SH2D5,TMEM176B,HR,LIF,RNASE2,P4HA3,SYCE3,GPR27,MYBL1,,TCAP,PCDH7
SORBS1,COL14A1,1-Sep,P2RY10,SLAMF6,NEK10,,SORBS2,LGALS12,PCDH1,C16orf95,COL1A2,BEX2,S100A2,ACP5,MOCOS,CPA4,TMEM176B,CAP2,CTNND2,LRG1,PLCH2,,PGAM2,TMEM119
ECM2,MFAP5,RIC3,GRAP2,ANO9,SCN8A,,PDE2A,TMEM86B,TNFRSF6B,PIP5K1B,GFPT2,RHOH,IL20RB,MMP9,NLGN1,MLPH,FCGR2C,VGLL3,SNAP91,FAM41C,ZAP70,,DUSP26,TMEM158
SEMA3G,GXYLT2,KIAA0125,LY9,SCML4,ID4,,THSD1,ABTB2,PERP,ITGA2B,ITGBL1,FAM124B,WNT7A,SPP1,NOV,TGFB2,CLEC5A,GXYLT2,HCN1,AATK,SH2D1A,,MAFA,COL3A1
CDO1,MDFI,LAX1,SCML4,FLT3LG,ELN,,SULT1C4,SPNS3,EFNB2,CCDC169,DSEL,RAB37,COL17A1,FLVCR2,BVES,SFN,KYNU,ALPL,TTYH1,DEFA1B,SNORA36C,,MYOZ2,ADAM12
SPARCL1,KCNG1,PTPRCAP,IL7R,CCDC141,NDUFA4L2,,MYCT1,ASB2,TGFA,TPSB2,FBLN2,KLRG1,KRT17,CD22,RTP4,CLIC3,SERPINB2,STC1,SLC32A1,CCR3,MMP23B,,TRIM63,MRGPRF
LIPE,HEPH,CARD11,TC2N,IL7R,ENPP1,,BMP4,DEFA1B,EGFR,E2F2,COL16A1,PTPRCAP,GJB6,LILRB1,EDNRB,MMP15,MS4A6A,MFAP3L,GALNT8,STEAP4,SNORA11D,,PEBP4,CXCL12
CHRDL1,PTGIS,ANO9,SPOCK2,SLA2,BDKRB2,,TNFAIP8L3,CCDC17,TMEM54,SPC25,LOXL1,CD38,ANXA8L1,KCNE1,CDH1,MMP11,MS4A7,NTM,DAO,HCAR3,SNORA11E,,TNNC2,SVEP1
ADAMTS5,HOXB2,FGD2,SIDT1,CARD11,WISP2,,CARD10,DEFA1,DDR1,ST8SIA6,C1S,SUPT3H,ESRP1,SIGLEC7,SEMA6A,ZNF503,LILRB2,WNT5A,SH3GL2,NLRP12,IL12RB2,,CA3,EDIL3
PDZD2,MLPH,FAM46C,NLRC3,CCL5,LUM,,CNTNAP3B,,GPRC5A,CA8,COL6A3,HOXA9,NIPAL4,IGSF6,SLC6A15,TNFRSF6B,RBP7,ADAMTS2,NPPC,LIPN,IL18RAP,,CHRNG,OLFML3
ANGPTL1,COL13A1,ZC3H12D,CARD11,TXK,GPC6,,C1QTNF5,,TUFT1,MND1,MFAP4,PLAC8,CYP27B1,MREG,COL5A3,ADAMTS7,SERPINA1,EDIL3,ADCYAP1,TMEM56,ITK,,CDH15,COL6A3
SPON1,CADM1,HLA-DOA,SLAMF6,SPOCK2,ISLR,,SEMA6B,,TMEM132A,TPSAB1,BGN,TRO,CSF3,1-Mar,PDE3A,PPP1R14A,VNN3,SULF1,ABCC8,S100A12,CCL5,,TNNI1,GEM
RASD1,MEIS3,KCNA3,TMIGD2,NLRC3,NEBL,,KIAA1462,,EPHA2,ART4,DDR2,FHIT,KRT15,NLRC4,BAMBI,SULT1C4,CD163,STC2,OPCML,CLEC4D,MYOM2,,ANKRD2,TWIST2
FOLR2,DES,PRDM15,CD226,MAL,EDIL3,,ADAMTS9,,AJUBA,OSBP2,FAP,NRM,PLCH2,SLC1A3,SEMA6D,BNC1,CLEC4A,TMEM200A,TRPC3,SIGLEC5,SLAMF6,,KLHL30,MEG8
LYVE1,CHRDL1,TMEM156,EPHX2,CD226,ARHGAP28,,ESAM,,SLPI,HBA1,CCDC80,EAF2,TSPAN1,HSD11B1,SLC16A6,LSR,S100Z,ANGPTL4,CLVS1,KCNJ15,YPEL1,,TMOD4,VASN
LRRN4CL,VWA1,PLEKHG1,SH2D3A,IL21R,SULF1,,KIAA1671,,TOM1L1,MUC1,ADAM12,HYAL3,SFN,MFSD7,TMEM229B,CPXM1,ZNF385A,TTN,TCEAL6,TREM1,CD2,,SCN4A,MATN2
C1QC,COL8A2,PARP15,MAN1C1,P2RY10,KLHL13,,ACE,,TPD52L1,CDH1,CLMP,FAM212A,LPAR3,KYNU,MLPH,PHLDA2,NLRP12,LAMA2,SV2C,TREML2,TMEM229B,,KCNJ11,SLC16A4
HSPB7,GATA6,GRAPL,AQP3,DEFA1B,NEGR1,,CFI,,ALDH1A3,HBA2,MFAP5,TSPAN2,DSC3,MMP19,IGSF3,SLIT3,FPR1,PLAT,SLC6A17,CEACAM8,LCK,,SMTNL2,DDR2
ABCA9,EDIL3,C1orf186,GIMAP1,SIDT1,CCBE1,,EFNB2,,RAC3,HDC,POSTN,NKG7,ANXA8,MS4A7,IRF4,VCAM1,FOLR3,FAP,CACNA1G,HSPA6,TXK,,XIRP2,COL1A2
ABCC9,FZD2,STAP1,TNFRSF25,TC2N,IGFBP3,,FZD4,,FAM84B,CHAF1B,TNXB,PDE6B,S1PR5,CDH23,TNFRSF19,GALNT14,SLC11A1,AOX1,SLITRK2,TCN1,BCL11B,,CMYA5,CCDC80
NPR1,KIAA1522,IL21R,GRAPL,CHI3L2,KAZALD1,,FAM124B,,AMIGO2,YPEL4,PPP1R3C,C1orf228,C1orf106,TNFSF14,TUBB2B,SEZ6L2,CLEC7A,MEIS3,FSTL4,HCG27,NCALD,,TMEM233,C1S
CLEC3B,CCDC74A,EBF1,IL21R,RNU5D-1,COL14A1,,TMEM88,,TNC,TMEM56,ARL4D,LRRC70,FERMT1,OLR1,ST8SIA6,SHROOM3,DEFA3,GFPT2,SLC4A10,LTF,GNGT2,,MYO18B,PLAT
